epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,260.435,1.60988,1.7737,1.62763,1.46648,0.16478,0.30924,0.11705,0.03475,0.10368,0.21687,0.04508,0.00866,2.79498,1.50826,3.03137,2.27127,0.00066595,0.00066595,0.00066595
2,505.811,1.7178,1.83734,1.69341,1.52415,0.25618,0.42169,0.20054,0.07532,0.18709,0.30522,0.09715,0.02217,2.13371,1.49553,2.25122,1.83256,0.00130623,0.00130623,0.00130623
3,746.276,1.54918,1.7832,1.54422,1.43647,0.29682,0.51004,0.26388,0.0918,0.23464,0.41365,0.14812,0.03305,2.1631,1.31156,2.07929,1.83817,0.00192011,0.00192011,0.00192011
4,990.923,1.45775,1.75837,1.42163,1.36678,0.50243,0.57028,0.42703,0.16582,0.42363,0.4498,0.30796,0.07098,1.83753,1.34891,1.86862,1.62739,0.0018812,0.0018812,0.0018812
5,1243.92,1.33626,1.67781,1.3162,1.31877,0.58984,0.60064,0.51901,0.25506,0.43524,0.4498,0.29571,0.0763,1.67119,1.28598,1.67124,1.5054,0.0018416,0.0018416,0.0018416
6,1510.57,1.27243,1.67438,1.24087,1.28464,0.59933,0.61274,0.52126,0.25129,0.51074,0.53815,0.37594,0.10145,1.66564,1.27306,1.72055,1.49973,0.001802,0.001802,0.001802
7,1768.45,1.23574,1.65455,1.1903,1.27504,0.63355,0.65267,0.56962,0.29432,0.54508,0.57263,0.4359,0.13071,1.63923,1.24261,1.58011,1.47041,0.0017624,0.0017624,0.0017624
8,2013.42,1.20293,1.63143,1.17331,1.24482,0.648,0.64257,0.57627,0.29149,0.53358,0.54212,0.3918,0.10945,1.558,1.26826,1.60075,1.46127,0.0017228,0.0017228,0.0017228
9,2267.49,1.16592,1.6425,1.15283,1.23059,0.65368,0.69076,0.61292,0.33533,0.5942,0.60241,0.45499,0.14383,1.5641,1.22122,1.49173,1.43518,0.0016832,0.0016832,0.0016832
10,2534.45,1.143,1.57804,1.09366,1.21201,0.66127,0.68273,0.58385,0.30374,0.54233,0.57831,0.38266,0.10697,1.55091,1.23311,1.44958,1.38139,0.0016436,0.0016436,0.0016436
11,2797.74,1.13005,1.58299,1.06911,1.21359,0.71682,0.65863,0.63352,0.36094,0.63498,0.56627,0.48854,0.14544,1.47204,1.24588,1.41341,1.36208,0.001604,0.001604,0.001604
12,3067.16,1.11716,1.59833,1.07711,1.20338,0.67169,0.64257,0.6393,0.36973,0.58692,0.56627,0.46299,0.13761,1.4161,1.23056,1.35387,1.34361,0.0015644,0.0015644,0.0015644
13,3305.14,1.07148,1.56126,1.00021,1.18055,0.67885,0.66216,0.63801,0.38684,0.54872,0.56646,0.47065,0.13887,1.35102,1.21953,1.35262,1.32387,0.0015248,0.0015248,0.0015248
14,3567.75,1.09422,1.55757,1.02007,1.18879,0.68545,0.69139,0.69301,0.42337,0.61529,0.61847,0.52851,0.16661,1.38643,1.18793,1.31258,1.29562,0.0014852,0.0014852,0.0014852
15,3837.61,1.05951,1.57093,1.00189,1.17342,0.78095,0.65861,0.69794,0.43366,0.64515,0.57028,0.49137,0.15043,1.35252,1.22914,1.32422,1.31523,0.0014456,0.0014456,0.0014456
16,4100.45,1.04248,1.53835,0.98794,1.15869,0.73143,0.6988,0.69595,0.40657,0.60738,0.59438,0.48654,0.14975,1.39127,1.24052,1.34445,1.29566,0.001406,0.001406,0.001406
17,4344.03,1.04911,1.55111,0.97975,1.17085,0.72624,0.67871,0.67807,0.42719,0.60446,0.55422,0.46078,0.14596,1.31612,1.29156,1.30987,1.29886,0.0013664,0.0013664,0.0013664
18,4585.94,1.00908,1.52546,0.95474,1.15263,0.7282,0.67068,0.68216,0.42348,0.62411,0.57347,0.49763,0.16702,1.3203,1.18905,1.32172,1.24778,0.0013268,0.0013268,0.0013268
19,4844.1,1.01732,1.54043,0.95558,1.15447,0.70743,0.6747,0.66746,0.42795,0.619,0.58723,0.49332,0.14832,1.29733,1.225,1.31142,1.26927,0.0012872,0.0012872,0.0012872
